ts_iso,symbol,source,subsource,kind,seq_or_tradeid,px,sz,bid,ask,mid,recv_ts,ws_ts,arrival_ms,price_diff,matched_with,note
2025-10-26T18:56:06.304Z,BTCUSDT,mmap,rings/binance_trade_chunk0,1,1042,113647.78,7e-05,,,,1761504966059,,1761504966304,,,
2025-10-26T18:56:06.307Z,BTCUSDT,mmap,rings/binance_trade_chunk0,1,1050,113647.78,0.00338,,,,1761504966215,,1761504966307,,,
2025-10-26T18:56:06.407Z,BTCUSDT,mmap,rings/binance_trade_chunk0,1,1042,113647.78,7e-05,,,,1761504966059,,1761504966407,,,
2025-10-26T18:56:06.421Z,BTCUSDT,mmap,rings/binance_trade_chunk0,1,1050,113647.78,0.00338,,,,1761504966215,,1761504966421,,,
2025-10-26T18:56:06.578Z,BTCUSDT,mmap,rings/binance_trade_chunk0,1,1084,113647.78,0.0001,,,,1761504966537,,1761504966578,,,
2025-10-26T18:56:07.041Z,BTCUSDT,mmap,rings/binance_trade_chunk0,1,1091,113647.77,0.0003,,,,1761504966981,,1761504967041,,,
2025-10-26T18:56:09.490Z,BTCUSDT,mmap,rings/binance_trade_chunk0,1,1202,113647.78,0.00416,,,,1761504969466,,1761504969490,,,
2025-10-26T18:56:09.490Z,BTCUSDT,ws,bookTicker,0,,,,113647.77000000,113647.78000000,113647.775,,1761504967533,1761504969490,,,
2025-10-26T18:56:09.773Z,BTCUSDT,mmap,rings/binance_trade_chunk0,1,1238,113647.78,0.01781,,,,1761504969731,,1761504969773,,,
2025-10-26T18:56:09.773Z,BTCUSDT,ws,bookTicker,0,,,,113647.77000000,113647.78000000,113647.775,,1761504967615,1761504969773,,,
2025-10-26T18:56:09.786Z,BTCUSDT,mmap,rings/binance_trade_chunk0,1,1239,113647.77,0.00902,,,,1761504969731,,1761504969786,,,
2025-10-26T18:56:09.786Z,BTCUSDT,ws,bookTicker,0,,,,113647.77000000,113647.78000000,113647.775,,1761504967618,1761504969786,,,
