ws_idx,mmap_idx,ws_id,mmap_id,ws_ts_ms,mmap_ts_ms,dt_ms,ws_px,mmap_px,price_diff,abs_diff
6,6,,1202.0,1761504969104.0,1761504969466.0,362.0,,113647.78,,
7,6,,1202.0,1761504969104.0,1761504969466.0,362.0,,113647.78,,
8,6,5390928247.0,1202.0,1761504969348.0,1761504969466.0,118.0,113647.78,113647.78,0.0,0.0
9,6,,1202.0,1761504969516.0,1761504969466.0,50.0,,113647.78,,
19,8,5390928249.0,1239.0,1761504969613.0,1761504969731.0,118.0,113647.77,113647.77,0.0,0.0
18,8,5390928248.0,1239.0,1761504969613.0,1761504969731.0,118.0,113647.78,113647.77,-0.00999999999476131,0.00999999999476131
10,8,,1239.0,1761504969745.0,1761504969731.0,14.0,,113647.77,,
11,8,,1239.0,1761504969746.0,1761504969731.0,15.0,,113647.77,,
12,8,,1239.0,1761504969746.0,1761504969731.0,15.0,,113647.77,,
13,8,,1239.0,1761504969746.0,1761504969731.0,15.0,,113647.77,,
15,8,,1239.0,1761504969747.0,1761504969731.0,16.0,,113647.77,,
14,8,,1239.0,1761504969747.0,1761504969731.0,16.0,,113647.77,,
17,8,,1239.0,1761504969764.0,1761504969731.0,33.0,,113647.77,,
16,8,,1239.0,1761504969764.0,1761504969731.0,33.0,,113647.77,,
20,8,,1239.0,1761504969779.0,1761504969731.0,48.0,,113647.77,,
21,8,,1239.0,1761504969781.0,1761504969731.0,50.0,,113647.77,,
22,8,,1239.0,1761504969781.0,1761504969731.0,50.0,,113647.77,,
23,8,,1239.0,1761504969782.0,1761504969731.0,51.0,,113647.77,,
24,8,,1239.0,1761504969836.0,1761504969731.0,105.0,,113647.77,,
25,8,,1239.0,1761504969836.0,1761504969731.0,105.0,,113647.77,,
26,8,,1239.0,1761504969864.0,1761504969731.0,133.0,,113647.77,,
27,9,,1260.0,1761504970031.0,1761504970213.0,182.0,,113647.78,,
28,9,,1260.0,1761504970050.0,1761504970213.0,163.0,,113647.78,,
30,9,,1260.0,1761504970051.0,1761504970213.0,162.0,,113647.78,,
29,9,,1260.0,1761504970051.0,1761504970213.0,162.0,,113647.78,,
31,9,,1260.0,1761504970052.0,1761504970213.0,161.0,,113647.78,,
32,9,5390928250.0,1260.0,1761504970095.0,1761504970213.0,118.0,113647.78,113647.78,0.0,0.0
33,9,,1260.0,1761504970247.0,1761504970213.0,34.0,,113647.78,,
34,10,,1290.0,1761504970506.0,1761504970742.0,236.0,,113647.78,,
35,10,,1290.0,1761504970545.0,1761504970742.0,197.0,,113647.78,,
37,10,5390928251.0,1290.0,1761504970624.0,1761504970742.0,118.0,113647.78,113647.78,0.0,0.0
36,10,,1290.0,1761504970718.0,1761504970742.0,24.0,,113647.78,,
41,10,5390928252.0,1290.0,1761504970756.0,1761504970742.0,14.0,113647.77,113647.78,0.00999999999476131,0.00999999999476131
38,10,,1290.0,1761504970782.0,1761504970742.0,40.0,,113647.78,,
39,11,,1311.0,1761504970869.0,1761504970874.0,5.0,,113647.77,,
40,11,,1311.0,1761504970937.0,1761504970874.0,63.0,,113647.77,,
42,11,,1311.0,1761504970938.0,1761504970874.0,64.0,,113647.77,,
43,11,,1311.0,1761504970938.0,1761504970874.0,64.0,,113647.77,,
44,12,5390928253.0,1332.0,1761504971206.0,1761504971323.0,117.0,113647.78,113647.78,0.0,0.0
45,12,,1332.0,1761504971359.0,1761504971323.0,36.0,,113647.78,,
46,13,5390928254.0,1341.0,1761504971925.0,1761504972051.0,126.0,113647.78,113647.78,0.0,0.0
47,13,,1341.0,1761504972078.0,1761504972051.0,27.0,,113647.78,,
48,14,5390928255.0,1358.0,1761504972349.0,1761504972467.0,118.0,113647.78,113647.78,0.0,0.0
49,14,,1358.0,1761504972528.0,1761504972467.0,61.0,,113647.78,,
50,15,,1378.0,1761504972654.0,1761504972777.0,123.0,,113647.77,,
51,15,,1378.0,1761504972660.0,1761504972777.0,117.0,,113647.77,,
54,15,5390928256.0,1378.0,1761504972660.0,1761504972777.0,117.0,113647.77,113647.77,0.0,0.0
52,15,,1378.0,1761504972751.0,1761504972777.0,26.0,,113647.77,,
53,15,,1378.0,1761504972751.0,1761504972777.0,26.0,,113647.77,,
55,15,,1378.0,1761504972834.0,1761504972777.0,57.0,,113647.77,,
59,17,,1455.0,1761504974556.0,1761504975015.0,459.0,,113647.78,,
60,17,,1455.0,1761504974757.0,1761504975015.0,258.0,,113647.78,,
