ws_idx,mmap_idx,ws_id,mmap_id,ws_ts_ms,mmap_ts_ms,dt_ms,ws_px,mmap_px,price_diff,abs_diff
0,69,,29449.0,1761505204977.5,1761505204535.0,442.5,,4072.23,,
18,89,,29913.0,1761505207383.5,1761505207869.0,485.5,,4072.24,,
19,89,,29913.0,1761505207529.5,1761505207869.0,339.5,,4072.24,,
20,89,,29913.0,1761505207544.5,1761505207869.0,324.5,,4072.24,,
21,89,,29913.0,1761505207545.5,1761505207869.0,323.5,,4072.24,,
22,89,,29913.0,1761505207548.5,1761505207869.0,320.5,,4072.24,,
23,89,,29913.0,1761505207550.5,1761505207869.0,318.5,,4072.24,,
24,89,,29913.0,1761505207557.5,1761505207869.0,311.5,,4072.24,,
25,89,,29913.0,1761505207557.5,1761505207869.0,311.5,,4072.24,,
26,89,,29913.0,1761505207558.5,1761505207869.0,310.5,,4072.24,,
27,89,,29913.0,1761505207558.5,1761505207869.0,310.5,,4072.24,,
28,89,,29913.0,1761505207572.5,1761505207869.0,296.5,,4072.24,,
29,89,,29913.0,1761505207699.5,1761505207869.0,169.5,,4072.24,,
30,89,,29913.0,1761505207700.5,1761505207869.0,168.5,,4072.24,,
31,89,,29913.0,1761505207701.5,1761505207869.0,167.5,,4072.24,,
32,89,,29913.0,1761505207703.5,1761505207869.0,165.5,,4072.24,,
33,89,,29913.0,1761505207704.5,1761505207869.0,164.5,,4072.24,,
34,89,,29913.0,1761505207704.5,1761505207869.0,164.5,,4072.24,,
35,89,,29913.0,1761505207704.5,1761505207869.0,164.5,,4072.24,,
36,89,,29913.0,1761505207736.5,1761505207869.0,132.5,,4072.24,,
39,89,3056952685.0,29913.0,1761505207736.5,1761505207869.0,132.5,4072.24,4072.24,0.0,0.0
37,89,,29913.0,1761505207747.5,1761505207869.0,121.5,,4072.24,,
38,89,,29913.0,1761505207888.5,1761505207869.0,19.5,,4072.24,,
40,89,,29913.0,1761505207891.5,1761505207869.0,22.5,,4072.24,,
41,89,,29913.0,1761505207892.5,1761505207869.0,23.5,,4072.24,,
42,89,,29913.0,1761505207892.5,1761505207869.0,23.5,,4072.24,,
43,89,,29913.0,1761505207894.5,1761505207869.0,25.5,,4072.24,,
